what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1316332970810
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1316332970812
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1316332970813
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1316332970814
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1316332970818
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1316332970821
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1316332970824
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1316332970827
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1316332970834
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1316332970842
os,sysinfo,,,"win32",1316332970867
arch,sysinfo,,,"x86",1316332970867
ws,sysinfo,,,"win32",1316332970867
locale,sysinfo,,,"ko_KR",1316332970867
processors,sysinfo,,,"2",1316332970868
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316332970868
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1316332970868
java.specification.name,sysinfo,,,"Java Platform API Specification",1316332970868
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316332970868
java.specification.version,sysinfo,,,"1.6",1316332970868
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1316332970868
java.version,sysinfo,,,"1.6.0_25",1316332970868
java.vm.info,sysinfo,,,"mixed mode",1316332970868
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1316332970868
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316332970869
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316332970869
java.vm.specification.version,sysinfo,,,"1.0",1316332970869
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1316332970869
java.vm.version,sysinfo,,,"20.0-b11",1316332970869
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1316332971132
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1316332971930
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1316332974419
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1316332976706
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316332979884
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1316332991245
